ResourceType     Locations    Name                      Zones    Restrictions
virtualMachines  eastus       Standard_D64s_v4          1,2,3    None
virtualMachines  eastus       Standard_D64s_v5          1,2,3    None
virtualMachines  eastus       Standard_D64_v3           1,2,3    None
virtualMachines  eastus       Standard_D64_v4           1,2,3    None
virtualMachines  eastus       Standard_D64_v5           1,2,3    None
virtualMachines  eastus       Standard_D8ds_v4          1,2,3    None
virtualMachines  eastus       Standard_D8ds_v5          1,2,3    None
virtualMachines  eastus       Standard_D8d_v4           1,2,3    None
virtualMachines  eastus       Standard_D8d_v5           1,2,3    None
virtualMachines  eastus       Standard_D8pds_v5         1,2,3    None
virtualMachines  eastus       Standard_D8plds_v5        1,2,3    None
virtualMachines  eastus       Standard_D8pls_v5         1,2,3    None
virtualMachines  eastus       Standard_D8ps_v5          1,2,3    None
virtualMachines  eastus       Standard_D8s_v3           1,2,3    None
virtualMachines  eastus       Standard_D8s_v4           1,2,3    None
virtualMachines  eastus       Standard_D8s_v5           1,2,3    None
virtualMachines  eastus       Standard_D8_v3            1,2,3    None
virtualMachines  eastus       Standard_D8_v4            1,2,3    None
virtualMachines  eastus       Standard_D8_v5            1,2,3    None
virtualMachines  eastus       Standard_D96ds_v5         1,2,3    None
virtualMachines  eastus       Standard_D96d_v5          1,2,3    None
virtualMachines  eastus       Standard_D96s_v5          1,2,3    None
virtualMachines  eastus       Standard_D96_v5           1,2,3    None
virtualMachines  eastus       Standard_DC16ads_v5       2        None
virtualMachines  eastus       Standard_DC16as_v5        2        None
virtualMachines  eastus       Standard_DC16ds_v3        3        None
virtualMachines  eastus       Standard_DC16s_v3         3        None
virtualMachines  eastus       Standard_DC1ds_v3         3        None
virtualMachines  eastus       Standard_DC1s_v2          1,2,3    None
virtualMachines  eastus       Standard_DC1s_v3          3        None
virtualMachines  eastus       Standard_DC24ds_v3        3        None
virtualMachines  eastus       Standard_DC24s_v3         3        None
virtualMachines  eastus       Standard_DC2ads_v5        2        None
virtualMachines  eastus       Standard_DC2as_v5         2        None
virtualMachines  eastus       Standard_DC2ds_v3         3        None
virtualMachines  eastus       Standard_DC2s_v2          1,2,3    None
virtualMachines  eastus       Standard_DC2s_v3          3        None
virtualMachines  eastus       Standard_DC32ads_v5       2        None
virtualMachines  eastus       Standard_DC32as_v5        2        None
virtualMachines  eastus       Standard_DC32ds_v3        3        None
virtualMachines  eastus       Standard_DC32s_v3         3        None
virtualMachines  eastus       Standard_DC48ads_v5       2        None
virtualMachines  eastus       Standard_DC48as_v5        2        None
virtualMachines  eastus       Standard_DC48ds_v3        3        None
virtualMachines  eastus       Standard_DC48s_v3         3        None
virtualMachines  eastus       Standard_DC4ads_v5        2        None
virtualMachines  eastus       Standard_DC4as_v5         2        None
virtualMachines  eastus       Standard_DC4ds_v3         3        None
virtualMachines  eastus       Standard_DC4s_v2          1,2,3    None
virtualMachines  eastus       Standard_DC4s_v3          3        None
